itemcode,fgcode,chain_id,chain name
100044689,F0088-004,11,MAX Hypermarket India Pvt. Ltd
100044693,F0387-002,11,MAX Hypermarket India Pvt. Ltd
100044713,F0094-016,11,MAX Hypermarket India Pvt. Ltd
100063527,F0431-001,11,MAX Hypermarket India Pvt. Ltd
100537707,F0199-001,11,MAX Hypermarket India Pvt. Ltd
100591821,F0194-001,11,MAX Hypermarket India Pvt. Ltd
100708997,F0210-001,11,MAX Hypermarket India Pvt. Ltd
100711395,F0428-001,11,MAX Hypermarket India Pvt. Ltd
100711934,F0207-001,11,MAX Hypermarket India Pvt. Ltd
101543266,F0232-001,11,MAX Hypermarket India Pvt. Ltd
101543282,F0168-001,11,MAX Hypermarket India Pvt. Ltd
101543303,F0167-001,11,MAX Hypermarket India Pvt. Ltd
101543320,F0202-001,11,MAX Hypermarket India Pvt. Ltd
101543442,F0216-001,11,MAX Hypermarket India Pvt. Ltd
101543485,F0217-001,11,MAX Hypermarket India Pvt. Ltd
101543565,F0097-018,11,MAX Hypermarket India Pvt. Ltd
101543581,F0095-020,11,MAX Hypermarket India Pvt. Ltd
101543602,F0099-016,11,MAX Hypermarket India Pvt. Ltd
101543629,F0049-002,11,MAX Hypermarket India Pvt. Ltd
101543661,F0206-001,11,MAX Hypermarket India Pvt. Ltd
101543709,F0220-001,11,MAX Hypermarket India Pvt. Ltd
114927509,F0306-004,11,MAX Hypermarket India Pvt. Ltd
114927525,F0311-003,11,MAX Hypermarket India Pvt. Ltd
114927728,F0038-001,11,MAX Hypermarket India Pvt. Ltd
114927744,F0036-001,11,MAX Hypermarket India Pvt. Ltd
114927761,F0035-001,11,MAX Hypermarket India Pvt. Ltd
114927787,F0037-001,11,MAX Hypermarket India Pvt. Ltd
114927824,F0313-003,11,MAX Hypermarket India Pvt. Ltd
117363201,F0307-004,11,MAX Hypermarket India Pvt. Ltd
124983580,F0367-001,11,MAX Hypermarket India Pvt. Ltd
124983601,F0371-001,11,MAX Hypermarket India Pvt. Ltd
124983627,F0365-001,11,MAX Hypermarket India Pvt. Ltd
124983643,F0369-001,11,MAX Hypermarket India Pvt. Ltd
124984187,F0386-001,11,MAX Hypermarket India Pvt. Ltd
127855760,F0409-001,11,MAX Hypermarket India Pvt. Ltd
127855786,F0425-001,11,MAX Hypermarket India Pvt. Ltd
127855807,F0424-001,11,MAX Hypermarket India Pvt. Ltd
127855920,F0432-001,11,MAX Hypermarket India Pvt. Ltd
127855989,F0438-001,11,MAX Hypermarket India Pvt. Ltd
127856009,F0428-001,11,MAX Hypermarket India Pvt. Ltd
127856025,F0441-001,11,MAX Hypermarket India Pvt. Ltd
127856041,F0440-001,11,MAX Hypermarket India Pvt. Ltd
127856084,F0436-001,11,MAX Hypermarket India Pvt. Ltd
127856447,F0404-001,11,MAX Hypermarket India Pvt. Ltd
127856463,F0405-001,11,MAX Hypermarket India Pvt. Ltd
130462449,F0568-001,11,MAX Hypermarket India Pvt. Ltd
130462465,F0569-001,11,MAX Hypermarket India Pvt. Ltd
130462609,F0559-001,11,MAX Hypermarket India Pvt. Ltd
130462781,F0557-001,11,MAX Hypermarket India Pvt. Ltd
130462801,T0330-001,11,MAX Hypermarket India Pvt. Ltd
130462844,F0547-003,11,MAX Hypermarket India Pvt. Ltd
130462861,F0553-003,11,MAX Hypermarket India Pvt. Ltd
130463249,F0465-001,11,MAX Hypermarket India Pvt. Ltd
130463265,F0525-001,11,MAX Hypermarket India Pvt. Ltd
130463281,F0627-001,11,MAX Hypermarket India Pvt. Ltd
132983643,F0607-001,11,MAX Hypermarket India Pvt. Ltd
132983660,F0609-001,11,MAX Hypermarket India Pvt. Ltd
409696,T0303-001,14,Metro Cash&Carry India Pvt Ltd
396128,F0547-003,14,Metro Cash&Carry India Pvt Ltd
396129,F0548-002,14,Metro Cash&Carry India Pvt Ltd
396119,F0551-002,14,Metro Cash&Carry India Pvt Ltd
396130,T0330-001,14,Metro Cash&Carry India Pvt Ltd
396123,F0556-002,14,Metro Cash&Carry India Pvt Ltd
383200,F0397-001,14,Metro Cash&Carry India Pvt Ltd
383199,F0398-001,14,Metro Cash&Carry India Pvt Ltd
396125,,14,Metro Cash&Carry India Pvt Ltd
396122,F0554-002,14,Metro Cash&Carry India Pvt Ltd
396120,F0627-001,14,Metro Cash&Carry India Pvt Ltd
380725,F0310-001,14,Metro Cash&Carry India Pvt Ltd
380726,F0309-001,14,Metro Cash&Carry India Pvt Ltd
396132,F0550-003,14,Metro Cash&Carry India Pvt Ltd
339709,F0355-001,14,Metro Cash&Carry India Pvt Ltd
339711,F0356-001,14,Metro Cash&Carry India Pvt Ltd
339712,F0049-002,14,Metro Cash&Carry India Pvt Ltd
339714,F0048-001,14,Metro Cash&Carry India Pvt Ltd
376893,F0169-001,14,Metro Cash&Carry India Pvt Ltd
376894,F0204-001,14,Metro Cash&Carry India Pvt Ltd
307394,F0428-001,14,Metro Cash&Carry India Pvt Ltd
307395,F0244-006,14,Metro Cash&Carry India Pvt Ltd
307396,F0440-001,14,Metro Cash&Carry India Pvt Ltd
307397,F0431-001,14,Metro Cash&Carry India Pvt Ltd
307398,F0438-001,14,Metro Cash&Carry India Pvt Ltd
307412,F0089-006,14,Metro Cash&Carry India Pvt Ltd
307413,F0034-001,14,Metro Cash&Carry India Pvt Ltd
307414,F0098-014,14,Metro Cash&Carry India Pvt Ltd
308010,F0031-001,14,Metro Cash&Carry India Pvt Ltd
308012,T0001-003,14,Metro Cash&Carry India Pvt Ltd
308026,F0099-016,14,Metro Cash&Carry India Pvt Ltd
308029,F0095-020,14,Metro Cash&Carry India Pvt Ltd
308033,F0194-001,14,Metro Cash&Carry India Pvt Ltd
308106,T0291-001,14,Metro Cash&Carry India Pvt Ltd
321499,F0032-001,14,Metro Cash&Carry India Pvt Ltd
321502,F0088-004,14,Metro Cash&Carry India Pvt Ltd
321503,F0094-016,14,Metro Cash&Carry India Pvt Ltd
321504,F0096-014,14,Metro Cash&Carry India Pvt Ltd
325272,F0097-018,14,Metro Cash&Carry India Pvt Ltd
327775,F0033-001,14,Metro Cash&Carry India Pvt Ltd
333539,F0215-001,14,Metro Cash&Carry India Pvt Ltd
333543,F0036-001,14,Metro Cash&Carry India Pvt Ltd
