EAN,Item Description,H&G
8906008459272,VLCC Enbrighten Tinted Sunscreen SoufflÃŠ SPF 25-40gm,531146
8906008459302,VLCC Sweat Free Sun Block Lotion SPF 40-30gm,
8906008454116,VLCC Aloe Vera Body Lotion 200 ml,524673
8906008458824,VLCC Mulberry Body Lotion â 200ml,530129
8906008458800,VLCC Almond Body Lotion â 200ml,530128
8907122003075,VLCC Gold Scrub-80gm,528582
8907122003082,VLCC Gold Peel Off Mask-80gm,528577
8907122003051,VLCC Diamond Detoxifying Wash-Off Mask-80gm,535107
8907122003068,VLCC Diamond Polishing Face Scrub-80gm,535108
8907122000074,VLCC Anti Aging Face Mask 80 gm,504044
8906008450842,VLCC Snighda Skin Whitening Face Mask 80gm,503991
8906008456530,VLCC Silver Facial Kit-6,524753
8906008456417,VLCC De pigmentation Facial Kit-6,524751
8907122001064,VLCC ANTI TAN FACIAL KIT 250g,537352
8907122001071,VLCC PAPAYA FRUIT FACL KT 250g,537355
8907122001057,VLCC INSTA GLOW FACIAL KT 210g,537353
8907122000210,Men Active Light Fairness Face Wash 100ml,527295
8907122000227,Men Active Light Fairness Face Scrub 100gm,527296
8907122000203,Men Active Light Fairness Moisturiser 100ml,527297
8907122000975,VLCC Insta Glow Bleach for Men 32.2 gm,
8907122001866,VLCC Daily protect Lip balm Honey 4GM,530137
8906008456462,VLCC Strawberry Lip Shield 10ML,504009
8907122004089,VLCC Mens lip Balm 4.5 gm,540226
8907122004140,VLCC Almond Lip Balm 4.5 gm,540229
8907122001859,VLCC Daily protect Lip balm Mango 4gm,530138
8906008460421,VLCC Cacti & Litchi Gentle Hydrating Face Wash-175ml,532259
8906008460445,VLCC Witch Hazel & Rose Water Gentle Face Wash-175ml,532261
8906008460452,VLCC Watermelon & Bergamot Gentle Exfoliating Face Wash -175ml,532269
8906008458961,VLCC Pineapple & Papaya Gentle Exfoliating Scrub-150ml,532266
8906008458992,VLCC Pomegranate & Aloe Vera Gentle Exfoliating Scrub-150ml,532267
8906008459029,VLCC Liquorice & Fenugreek Natural Fairness Mask -100ml,532262
8907122000197,Daily Skin Regime Pack-Arabian Exotica,
8906008459500,VLCC Protein Conditioning Shampoo-200ml,524675
8906008458336,VLCC Henna Natura Colour Natural Black,
8906008459555,VLCC Hair Fall Repair Conditioner 100ml,
8906008459531,VLCC Hair Smoothening Shampoo-350ml,531690
8906008459524,VLCC Hair Smoothening Shampoo-200ml,531689
8906008459548,VLCC Dandruff Control Conditioner 100ml,531691
8907122000258,VLCC Insta Glow Saffron Bleach - 60 gm,537354
8906008460414,VLCC Insta Fair & Glow Fairness Cream 50gm,
8906008460582,VLCC Almond Body Lotion â 100ml,
8906008460575,VLCC Mulberry Body Lotion â 100ml,
8906008460599,VLCC Aloe Vera Body Lotion -100 ml,
8906008460605,VLCC Coco Butter Body Lotion â 100ml Â  Â  Â  Â  Â  ,
8906008453355,Soap Insta Glow Basil&Mullbery,
8906008453362,Soap Anti Ageing Geranium & Bergamont,
8906008456073,Body Glow SPF 35 oil free,538085
