EAN,Item Description,Spencer
8906008460421,VLCC Cacti & Litchi Gentle Hydrating Face Wash-175ml,1258353
8906008460445,VLCC Witch Hazel & Rose Water Gentle Face Wash-175ml,1258355
8906008460452,VLCC Watermelon & Bergamot Gentle Exfoliating Face Wash -175ml,1258356
8906008458961,VLCC Pineapple & Papaya Gentle Exfoliating Scrub-150ml,1258357
8906008458992,VLCC Pomegranate & Aloe Vera Gentle Exfoliating Scrub-150ml,1258359
8906008459029,VLCC Liquorice & Fenugreek Natural Fairness Mask -100ml,1258363
8907122000197,Daily Skin Regime Pack-Arabian Exotica,
8906008459500,VLCC Protein Conditioning Shampoo-200ml,1028401
8906008458336,VLCC Henna Natura Colour Natural Black,1258365
8906008459555,VLCC Hair Fall Repair Conditioner 100ml,1231202
8906008459531,VLCC Hair Smoothening Shampoo-350ml,1255929
8906008459524,VLCC Hair Smoothening Shampoo-200ml,1255928
8906008459548,VLCC Dandruff Control Conditioner 100ml,1255930
8907122000258,VLCC Insta Glow Saffron Bleach - 60 gm,1289533
8906008460414,VLCC Insta Fair & Glow Fairness Cream 50gm,
8906008460582,VLCC Almond Body Lotion – 100ml,
8906008460575,VLCC Mulberry Body Lotion – 100ml,
8906008460599,VLCC Aloe Vera Body Lotion -100 ml,
8906008460605,VLCC Coco Butter Body Lotion – 100ml           ,
8906008453355,Soap Insta Glow Basil&Mullbery,1135135
8906008453362,Soap Anti Ageing Geranium & Bergamont,1101214
8906008456073,Body Glow SPF 35 oil free,
8906008456196,BODY GLOW SPF 35  100ML,
8907122000418,Daily Shine Control Cleanser,1289626
8906008456035,Daily Shine Control Nourishing Mask,1289514
8907122000319,Enbrighten Day Treat Cream,1289516
8907122000326,Enbrighten Night Treat Cream ,1289517
8907122000333,Face Sculpt Day Cream ,1289518
8907122000432,Moisture Lock Facial Wash ,1289529
8906008456134,Skin Soothe Toner ,1289627
8907122000357,Maximum Replenish Night Cream ,1289519
8907122000364,Maximum Moisturise Day Cream ,1289520
8907122000395,Brighten Correct Day Treat Cream ,1289521
8907122000401,Brighten Correct Night Cream ,1289522
8906008456257,Papaya Enzyme Mask ,1289524
8906008456264,Exotic Jewel Scrub ,1289525
8906008456271,Exotic Jewel Mask ,1289526
8906008459753,Whitening Scrub ,1289527
8906008459760,Whitening Face Pack ,1289528
8907122000371,Whitening Night Cream ,1289523
8907122000388,Whitening Day Cream ,1289515
8907122000456,Whitening Face Wash ,1289530
8907122002696,VLCC Ultra Radiance Soufflé with SPF 50 and PA+++,1289538
8907122002047,VLCC 1 Day Instant Magic Whitening Cream,1289537
8907122002122,VLCC 1 Day Instant Magic Whitening Scrub,1289540
8907122002900,VLCC Anti-Tan Skin Lightening Facewash,1289541
8907122002689,VLCC Refreshing Sun Block Gel  SPF 25 And pa+++,1289539
8907122002023,VLCC Diamond & Gold Ultra Glow Facial Kit,
8907122002030,VLCC Wonder Whitening Kit,
8907122004188,Antiaging Soap(3+1 free Offer),1295350
8907122004171,Instaglow Fairness Soap (3+1) Free Offer,1295351
8907122004614,VLCC De-Pigmentation fairness Facial Kit,
